Project ID,Project Name,Team ID,Team Name,Backlog ID,Backlog Level Name,Rank,Work Item Count Limit
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,056730a2-5806-43ac-8251-8ad42b541145,BUD Team1,Microsoft.EpicCategory,Epics,4,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,056730a2-5806-43ac-8251-8ad42b541145,BUD Team1,Microsoft.RequirementCategory,Backlog items,2,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,056730a2-5806-43ac-8251-8ad42b541145,BUD Team1,Microsoft.TaskCategory,Tasks,1,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,f5a5ee70-17b3-4274-99c6-52849d165b90,Improvement Ideas,Microsoft.FeatureCategory,Features,3,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,f5a5ee70-17b3-4274-99c6-52849d165b90,Improvement Ideas,Custom.262050fd-694d-444f-9018-e89a33a34f25,Initiatives,5,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,f5a5ee70-17b3-4274-99c6-52849d165b90,Improvement Ideas,Microsoft.EpicCategory,Epics,4,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,f5a5ee70-17b3-4274-99c6-52849d165b90,Improvement Ideas,Microsoft.RequirementCategory,Backlog items,2,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,f5a5ee70-17b3-4274-99c6-52849d165b90,Improvement Ideas,Microsoft.TaskCategory,Tasks,1,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,ceaf8342-c29c-4886-8f24-abbc7418d48e,Security Team,Microsoft.FeatureCategory,Features,3,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,ceaf8342-c29c-4886-8f24-abbc7418d48e,Security Team,Custom.262050fd-694d-444f-9018-e89a33a34f25,Initiatives,5,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,ceaf8342-c29c-4886-8f24-abbc7418d48e,Security Team,Microsoft.EpicCategory,Epics,4,1000
